GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",94806,2566,82216,2505,7935,1403,700,639,1365,156,28,50,342,481,2220,1262,13,23,2207,1261
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",126430,,107429,742,11792,936,202,163,2604,629,70,114,797,569,3536,1124,300,316,3236,1095
310M300US16180,16180,"Carson City, NV Metro Area",54742,,42921,2248,376,358,1267,280,1906,939,0,210,6796,2414,1476,1003,0,210,1476,1003
310M300US16220,16220,"Casper, WY Metro Area",81039,,76905,270,1391,673,303,316,435,351,0,197,176,171,1829,596,0,197,1829,596
310M300US16300,16300,"Cedar Rapids, IA Metro Area",267799,,243503,649,12484,1152,320,267,5382,631,132,148,588,399,5390,1338,157,261,5233,1330
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",153851,,142799,1224,6445,745,469,573,1733,470,60,98,601,729,1744,1118,200,253,1544,1054
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",239872,1551,181563,1834,28021,991,359,212,22016,724,62,108,1489,634,6362,1430,318,223,6044,1413
310M300US16620,16620,"Charleston, WV Metro Area",219579,2475,197609,2484,13150,1560,529,393,2148,616,0,193,194,194,5949,1748,37,81,5912,1730
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",761155,,515976,3095,198439,3110,2348,965,14532,1116,0,207,10989,3453,18871,3542,407,328,18464,3487
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2474314,,1667681,8408,558245,5939,8895,1713,86593,2217,1381,629,95074,8670,56445,5420,6152,1964,50293,5072
310M300US16820,16820,"Charlottesville, VA Metro Area",229467,2922,179730,3148,30836,2837,622,392,9555,802,70,114,2419,1335,6235,1363,239,183,5996,1341
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",551200,3168,451330,4571,75545,3316,839,453,9166,1551,104,175,1846,1061,12370,2211,1579,1162,10791,2081
310M300US16940,16940,"Cheyenne, WY Metro Area",98136,,88958,835,2690,939,443,610,1200,434,362,508,1209,527,3274,1107,276,278,2998,1106
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9512968,1542,6202988,23954,1577873,7946,24650,3305,617341,5584,3677,1192,835855,25290,250584,11429,65584,6391,185000,10243
310M300US17020,17020,"Chico, CA Metro Area",226864,,187892,2607,3563,796,2567,739,10665,1086,811,498,9577,2534,11789,1988,1724,899,10065,1723
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2161441,4453,1766311,6337,267296,5219,2331,1011,53478,1930,370,291,21500,4693,50155,5265,1782,967,48373,5041
